timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-22_14-10-51,2560,1440,45,497603788.45,44.99,0.01,11.445,4.681,18.890
2025-10-22_14-10-52,2560,1440,45,497653178.03,45.00,0.00,5.527,4.417,12.456
2025-10-22_14-10-53,2560,1440,45,497674982.69,45.00,-0.00,5.702,4.372,12.316
2025-10-22_14-10-54,2560,1440,45,497663020.60,45.00,0.00,5.647,4.389,14.274
2025-10-22_14-10-55,2560,1440,45,497648291.73,45.00,0.00,5.714,4.471,13.113
2025-10-22_14-10-56,2560,1440,45,497648392.25,45.00,0.00,5.597,4.431,11.207
2025-10-22_14-10-57,2560,1440,45,497651103.87,45.00,0.00,5.673,4.534,13.128
2025-10-22_14-10-58,2560,1440,45,497685706.56,45.00,-0.00,5.540,4.285,13.107
2025-10-22_14-10-59,2560,1440,45,497649603.49,45.00,0.00,5.526,4.427,13.104
2025-10-22_14-11-00,2560,1440,45,497659220.98,45.00,0.00,5.673,4.557,13.764
2025-10-22_14-11-01,2560,1440,45,497653911.06,45.00,0.00,6.759,4.619,28.021
2025-10-22_14-11-02,2560,1440,45,497652161.35,45.00,0.00,5.636,4.350,12.392
2025-10-22_14-11-03,2560,1440,45,497663628.74,45.00,0.00,6.219,4.587,12.597
2025-10-22_14-11-04,2560,1440,45,497659909.24,45.00,0.00,5.750,4.584,13.363
2025-10-22_14-11-05,2560,1440,45,497665777.66,45.00,-0.00,6.105,4.678,13.331
2025-10-22_14-11-06,2560,1440,45,497659650.45,45.00,0.00,5.801,4.588,12.400
2025-10-22_14-11-07,2560,1440,45,497667807.16,45.00,-0.00,5.909,4.724,13.132
2025-10-22_14-11-08,2560,1440,45,497663972.63,45.00,0.00,6.080,4.526,13.253
2025-10-22_14-11-09,2560,1440,45,497666715.27,45.00,-0.00,5.864,4.568,13.744
2025-10-22_14-11-10,2560,1440,45,497633285.58,45.00,0.01,6.228,4.738,13.761
2025-10-22_14-11-11,2560,1440,45,497594810.93,44.99,0.01,5.858,4.662,12.149
2025-10-22_14-11-12,2560,1440,45,497715658.90,45.00,-0.01,6.083,4.582,13.530
2025-10-22_14-11-13,2560,1440,45,497666530.63,45.00,-0.00,5.896,4.555,10.898
2025-10-22_14-11-14,2560,1440,45,497639123.52,45.00,0.00,5.886,4.679,13.827
2025-10-22_14-11-15,2560,1440,45,497675860.11,45.00,-0.00,5.934,4.574,13.200
2025-10-22_14-11-16,2560,1440,45,497656488.87,45.00,0.00,5.849,4.712,12.416
2025-10-22_14-11-17,2560,1440,45,497662038.22,45.00,0.00,6.086,4.666,13.974
2025-10-22_14-11-18,2560,1440,45,497653706.53,45.00,0.00,5.900,4.756,13.253
2025-10-22_14-11-19,2560,1440,45,497240940.94,44.96,0.09,5.933,4.493,14.108
2025-10-22_14-11-20,2560,1440,45,497674628.34,45.00,-0.00,6.074,4.586,13.145
2025-10-22_14-11-21,2560,1440,45,498066938.64,45.04,-0.08,5.996,4.701,13.020
2025-10-22_14-11-22,2560,1440,45,497642090.31,45.00,0.00,5.958,4.710,13.068
2025-10-22_14-11-23,2560,1440,45,497663419.23,45.00,0.00,6.048,4.555,13.470
2025-10-22_14-11-24,2560,1440,45,497650136.96,45.00,0.00,5.924,4.521,12.165
2025-10-22_14-11-25,2560,1440,45,497673321.92,45.00,-0.00,6.075,4.522,14.354
2025-10-22_14-11-26,2560,1440,45,497657501.09,45.00,0.00,5.792,4.566,13.798
2025-10-22_14-11-27,2560,1440,45,497656429.15,45.00,0.00,6.078,4.666,13.115
2025-10-22_14-11-28,2560,1440,45,497652769.47,45.00,0.00,5.829,4.549,11.692
2025-10-22_14-11-29,2560,1440,45,497672324.56,45.00,-0.00,6.030,4.623,14.371
2025-10-22_14-11-30,2560,1440,45,497177699.06,44.96,0.10,5.820,4.656,12.113
2025-10-22_14-11-31,2560,1440,45,498138220.11,45.04,-0.10,5.860,4.494,11.231
2025-10-22_14-11-32,2560,1440,45,497650560.45,45.00,0.00,6.106,4.592,13.050
2025-10-22_14-11-33,2560,1440,45,497659121.45,45.00,0.00,5.913,4.712,11.822
2025-10-22_14-11-34,2560,1440,45,497669018.99,45.00,-0.00,6.110,4.696,12.828
2025-10-22_14-11-35,2560,1440,45,497649977.22,45.00,0.00,5.836,4.554,13.638
2025-10-22_14-11-36,2560,1440,45,497664506.62,45.00,-0.00,5.958,4.639,12.360
2025-10-22_14-11-37,2560,1440,45,497645450.27,45.00,0.00,6.190,4.621,12.529
2025-10-22_14-11-38,2560,1440,45,497641556.37,45.00,0.00,5.899,4.475,12.256
2025-10-22_14-11-39,2560,1440,45,497683978.03,45.00,-0.00,6.280,4.705,13.469
2025-10-22_14-11-40,2560,1440,45,497661425.10,45.00,0.00,6.095,4.559,13.626
2025-10-22_14-11-41,2560,1440,45,497646113.11,45.00,0.00,6.011,4.731,12.780
2025-10-22_14-11-42,2560,1440,45,497663593.91,45.00,0.00,6.069,4.676,12.739
2025-10-22_14-11-43,2560,1440,45,497663708.87,45.00,0.00,5.903,4.553,12.547
2025-10-22_14-11-44,2560,1440,45,497644109.16,45.00,0.00,6.109,4.670,11.764
2025-10-22_14-11-45,2560,1440,45,497667807.16,45.00,-0.00,5.867,4.431,12.459
2025-10-22_14-11-46,2560,1440,45,497663678.51,45.00,0.00,5.927,4.543,12.215
2025-10-22_14-11-47,2560,1440,45,497647529.86,45.00,0.00,5.918,4.521,12.797
2025-10-22_14-11-48,2560,1440,45,497659275.72,45.00,0.00,5.969,4.529,13.989
2025-10-22_14-11-49,2560,1440,45,497668131.64,45.00,-0.00,5.952,4.540,14.649
2025-10-22_14-11-50,2560,1440,45,497639701.75,45.00,0.00,5.950,4.770,13.638
2025-10-22_14-11-51,2560,1440,45,497671885.61,45.00,-0.00,5.873,4.469,13.795
