timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-22_14-08-28,1920,1080,60,373111177.15,59.98,0.04,6.538,2.006,9.064
2025-10-22_14-08-29,1920,1080,60,373354703.28,60.02,-0.03,6.139,1.908,8.119
2025-10-22_14-08-30,1920,1080,60,372948514.14,59.95,0.08,6.330,1.896,8.594
2025-10-22_14-08-31,1920,1080,60,373545596.68,60.05,-0.08,6.246,1.882,9.245
2025-10-22_14-08-32,1920,1080,60,373117388.02,59.98,0.03,6.168,2.028,9.330
2025-10-22_14-08-33,1920,1080,60,373379273.06,60.02,-0.04,5.951,1.930,8.940
2025-10-22_14-08-34,1920,1080,60,373218469.46,60.00,0.01,5.799,1.832,9.149
2025-10-22_14-08-35,1920,1080,60,372437337.99,59.87,0.22,5.843,1.904,9.350
2025-10-22_14-08-36,1920,1080,60,373626881.20,60.06,-0.10,5.520,1.751,8.937
2025-10-22_14-08-37,1920,1080,60,373674513.21,60.07,-0.11,5.474,1.859,7.684
2025-10-22_14-08-38,1920,1080,60,372925393.43,59.95,0.09,5.481,1.944,9.966
2025-10-22_14-08-39,1920,1080,60,373566509.53,60.05,-0.09,5.206,1.856,9.202
2025-10-22_14-08-40,1920,1080,60,373242497.66,60.00,0.00,5.125,1.845,9.069
2025-10-22_14-08-41,1920,1080,60,373247482.31,60.00,0.00,5.017,1.829,8.252
2025-10-22_14-08-42,1920,1080,60,373240556.84,60.00,0.00,5.170,1.875,9.113
2025-10-22_14-08-43,1920,1080,60,369872694.91,59.46,0.90,5.268,1.852,11.979
2025-10-22_14-08-44,1920,1080,60,376678205.39,60.55,-0.92,4.922,1.867,8.817
2025-10-22_14-08-45,1920,1080,60,373243892.45,60.00,0.00,4.636,1.751,8.867
2025-10-22_14-08-46,1920,1080,60,373243319.90,60.00,0.00,4.562,1.909,8.576
2025-10-22_14-08-47,1920,1080,60,373240422.47,60.00,0.00,4.678,1.843,9.564
2025-10-22_14-08-48,1920,1080,60,373246229.32,60.00,0.00,4.639,1.835,8.255
2025-10-22_14-08-49,1920,1080,60,373241443.27,60.00,0.00,4.812,1.882,8.382
2025-10-22_14-08-50,1920,1080,60,373228291.68,60.00,0.01,4.303,1.802,7.881
2025-10-22_14-08-51,1920,1080,60,373258551.65,60.00,-0.00,4.335,1.748,9.774
2025-10-22_14-08-52,1920,1080,60,373245298.45,60.00,0.00,4.173,1.889,8.634
2025-10-22_14-08-53,1920,1080,60,373235116.30,60.00,0.00,4.263,1.810,8.207
2025-10-22_14-08-54,1920,1080,60,372113627.24,59.82,0.30,5.068,1.852,15.199
2025-10-22_14-08-55,1920,1080,60,374267502.81,60.16,-0.27,4.498,1.816,8.624
2025-10-22_14-08-56,1920,1080,60,373367908.22,60.02,-0.03,4.605,1.809,8.379
2025-10-22_14-08-57,1920,1080,60,373231575.20,60.00,0.00,4.385,1.826,7.772
2025-10-22_14-08-58,1920,1080,60,373254553.98,60.00,-0.00,4.392,1.827,9.112
2025-10-22_14-08-59,1920,1080,60,373246315.54,60.00,0.00,4.613,1.788,8.529
2025-10-22_14-09-00,1920,1080,60,373240238.84,60.00,0.00,4.772,1.823,8.732
2025-10-22_14-09-01,1920,1080,60,373239214.32,60.00,0.00,4.697,1.785,9.363
2025-10-22_14-09-02,1920,1080,60,373243129.55,60.00,0.00,4.904,1.843,8.267
2025-10-22_14-09-03,1920,1080,60,373238519.00,60.00,0.00,4.722,1.884,9.303
2025-10-22_14-09-04,1920,1080,60,373251008.40,60.00,-0.00,4.688,1.736,8.845
2025-10-22_14-09-05,1920,1080,60,373250784.45,60.00,-0.00,4.711,1.784,14.794
2025-10-22_14-09-06,1920,1080,60,373242082.62,60.00,0.00,4.497,1.807,9.065
2025-10-22_14-09-07,1920,1080,60,373242837.68,60.00,0.00,4.200,1.834,9.197
2025-10-22_14-09-08,1920,1080,60,373241394.37,60.00,0.00,4.359,1.693,7.999
2025-10-22_14-09-09,1920,1080,60,373246353.24,60.00,0.00,4.656,1.804,8.293
2025-10-22_14-09-10,1920,1080,60,372494119.95,59.88,0.20,4.367,1.765,8.350
2025-10-22_14-09-11,1920,1080,60,373997120.72,60.12,-0.20,4.872,1.922,8.250
2025-10-22_14-09-12,1920,1080,60,373242277.08,60.00,0.00,5.131,1.847,10.248
2025-10-22_14-09-13,1920,1080,60,373246065.09,60.00,0.00,4.816,1.849,10.256
2025-10-22_14-09-14,1920,1080,60,373240956.94,60.00,0.00,4.518,1.703,8.413
2025-10-22_14-09-15,1920,1080,60,373239120.64,60.00,0.00,4.965,1.815,8.147
2025-10-22_14-09-16,1920,1080,60,373249800.93,60.00,-0.00,4.749,1.886,8.137
2025-10-22_14-09-17,1920,1080,60,373240093.28,60.00,0.00,5.131,1.865,8.092
2025-10-22_14-09-18,1920,1080,60,373246091.22,60.00,0.00,5.225,1.812,8.664
2025-10-22_14-09-19,1920,1080,60,373245103.99,60.00,0.00,5.267,1.822,9.406
2025-10-22_14-09-20,1920,1080,60,373245440.28,60.00,0.00,5.307,1.876,9.505
2025-10-22_14-09-21,1920,1080,60,373236084.44,60.00,0.00,5.163,1.873,8.274
2025-10-22_14-09-22,1920,1080,60,373245866.90,60.00,0.00,5.190,1.851,8.473
2025-10-22_14-09-23,1920,1080,60,373147723.27,59.98,0.03,5.097,1.832,9.006
2025-10-22_14-09-24,1920,1080,60,373330215.53,60.01,-0.02,5.050,1.794,8.691
2025-10-22_14-09-25,1920,1080,60,373252250.22,60.00,-0.00,5.112,1.800,8.272
2025-10-22_14-09-26,1920,1080,60,372863636.13,59.94,0.10,5.020,1.878,8.051
2025-10-22_14-09-27,1920,1080,60,373630841.59,60.06,-0.10,5.274,1.835,9.118
2025-10-22_14-09-28,1920,1080,60,373240194.05,60.00,0.00,5.088,1.958,8.210
