timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-13_00-05-30,1280,720,45,121642763.59,44.00,2.23,2.020,1.215,4.445
2025-10-13_00-05-31,1280,720,45,124416927.40,45.00,-0.00,1.546,1.277,2.305
2025-10-13_00-05-32,1280,720,45,124409922.58,45.00,0.00,1.438,1.233,2.257
2025-10-13_00-05-33,1280,720,45,121653335.87,44.00,2.22,1.528,1.267,2.546
2025-10-13_00-05-34,1280,720,45,116123776.86,42.00,6.66,1.647,1.269,3.981
2025-10-13_00-05-35,1280,720,45,121651040.15,44.00,2.22,1.449,1.233,2.181
2025-10-13_00-05-36,1280,720,45,124421285.29,45.00,-0.00,1.400,1.195,1.918
2025-10-13_00-05-37,1280,720,45,124415978.10,45.00,0.00,1.455,1.224,2.347
2025-10-13_00-05-38,1280,720,45,124399564.21,44.99,0.01,1.409,1.187,1.850
2025-10-13_00-05-39,1280,720,45,124412036.36,45.00,0.00,1.557,1.238,2.719
2025-10-13_00-05-40,1280,720,45,107838352.75,39.00,13.32,1.499,1.231,2.355
2025-10-13_00-05-41,1280,720,45,124401466.30,44.99,0.01,1.487,1.222,2.726
2025-10-13_00-05-42,1280,720,45,121667152.88,44.01,2.21,1.502,1.241,2.003
2025-10-13_00-05-43,1280,720,45,124414007.76,45.00,0.00,1.408,1.247,1.744
2025-10-13_00-05-44,1280,720,45,124416767.03,45.00,-0.00,1.427,1.259,1.806
2025-10-13_00-05-45,1280,720,45,124419686.56,45.00,-0.00,1.505,1.216,2.333
2025-10-13_00-05-46,1280,720,45,124410300.39,45.00,0.00,1.481,1.217,2.443
2025-10-13_00-05-47,1280,720,45,124422117.71,45.00,-0.00,1.455,1.274,2.580
2025-10-13_00-05-48,1280,720,45,124403747.97,45.00,0.01,1.436,1.274,1.908
2025-10-13_00-05-49,1280,720,45,124426959.15,45.00,-0.01,1.366,1.203,1.713
2025-10-13_00-05-50,1280,720,45,107822226.38,39.00,13.34,1.508,1.249,2.374
2025-10-13_00-05-51,1280,720,45,124415721.31,45.00,0.00,1.446,1.233,3.684
2025-10-13_00-05-52,1280,720,45,124417219.04,45.00,-0.00,1.427,1.231,2.526
