timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-13_00-03-11,640,480,15,13822907.82,15.00,0.01,1.152,0.700,3.486
2025-10-13_00-03-12,640,480,15,13823996.36,15.00,0.00,0.857,0.727,1.036
2025-10-13_00-03-13,640,480,15,13823969.75,15.00,0.00,0.675,0.542,0.858
2025-10-13_00-03-14,640,480,15,13823875.31,15.00,0.00,0.783,0.532,2.641
2025-10-13_00-03-15,640,480,15,13824010.92,15.00,-0.00,0.838,0.650,1.342
2025-10-13_00-03-16,640,480,15,13824090.81,15.00,-0.00,0.667,0.551,0.797
2025-10-13_00-03-17,640,480,15,13823808.83,15.00,0.00,0.595,0.533,0.784
2025-10-13_00-03-18,640,480,15,13824118.04,15.00,-0.00,0.696,0.579,0.829
2025-10-13_00-03-19,640,480,15,13823896.15,15.00,0.00,0.682,0.519,0.810
2025-10-13_00-03-20,640,480,15,13823320.76,15.00,0.00,0.787,0.583,0.992
2025-10-13_00-03-21,640,480,15,13824294.17,15.00,-0.00,0.660,0.543,0.816
2025-10-13_00-03-22,640,480,15,13824242.35,15.00,-0.00,0.627,0.545,0.737
2025-10-13_00-03-23,640,480,15,13824050.21,15.00,-0.00,0.603,0.542,0.702
2025-10-13_00-03-24,640,480,15,13823879.68,15.00,0.00,0.759,0.561,1.263
2025-10-13_00-03-25,640,480,15,13823700.15,15.00,0.00,0.691,0.535,0.935
2025-10-13_00-03-26,640,480,15,13824266.79,15.00,-0.00,0.604,0.514,0.742
2025-10-13_00-03-27,640,480,15,13823922.01,15.00,0.00,0.671,0.554,0.907
2025-10-13_00-03-28,640,480,15,13823979.25,15.00,0.00,0.731,0.492,1.393
2025-10-13_00-03-29,640,480,15,13823943.50,15.00,0.00,0.671,0.580,0.933
2025-10-13_00-03-30,640,480,15,13823867.37,15.00,0.00,0.927,0.603,1.406
2025-10-13_00-03-31,640,480,15,13824065.42,15.00,-0.00,0.886,0.574,1.451
2025-10-13_00-03-32,640,480,15,13823806.58,15.00,0.00,0.688,0.536,1.039
2025-10-13_00-03-33,640,480,15,13824107.14,15.00,-0.00,0.792,0.666,1.075
2025-10-13_00-03-34,640,480,15,13823793.39,15.00,0.00,0.649,0.540,0.994
2025-10-13_00-03-35,640,480,15,13822458.28,15.00,0.01,0.681,0.597,0.780
2025-10-13_00-03-36,640,480,15,13825761.65,15.00,-0.01,0.933,0.642,1.159
2025-10-13_00-03-37,640,480,15,13823739.86,15.00,0.00,0.672,0.549,0.852
2025-10-13_00-03-38,640,480,15,13824041.33,15.00,-0.00,0.664,0.517,0.826
2025-10-13_00-03-39,640,480,15,13823987.56,15.00,0.00,0.742,0.559,1.083
2025-10-13_00-03-40,640,480,15,13823980.18,15.00,0.00,0.653,0.523,0.782
2025-10-13_00-03-41,640,480,15,13821440.41,15.00,0.02,0.685,0.510,0.928
2025-10-13_00-03-42,640,480,15,13826460.72,15.00,-0.02,0.682,0.561,0.868
2025-10-13_00-03-43,640,480,15,13822604.40,15.00,0.01,0.676,0.559,0.858
2025-10-13_00-03-44,640,480,15,13825404.16,15.00,-0.01,0.596,0.512,0.746
2025-10-13_00-03-45,640,480,15,13823683.52,15.00,0.00,0.593,0.522,0.671
2025-10-13_00-03-46,640,480,15,13824039.30,15.00,-0.00,0.690,0.529,1.111
2025-10-13_00-03-47,640,480,15,13824023.58,15.00,-0.00,0.750,0.556,0.971
2025-10-13_00-03-48,640,480,15,13824004.76,15.00,-0.00,0.654,0.531,0.969
2025-10-13_00-03-49,640,480,15,13823993.63,15.00,0.00,0.579,0.491,0.681
2025-10-13_00-03-50,640,480,15,13823964.86,15.00,0.00,0.641,0.517,0.797
2025-10-13_00-03-51,640,480,15,13823999.17,15.00,0.00,0.674,0.531,0.808
2025-10-13_00-03-52,640,480,15,13823981.24,15.00,0.00,0.686,0.518,0.858
2025-10-13_00-03-53,640,480,15,13823641.15,15.00,0.00,0.703,0.551,0.809
2025-10-13_00-03-54,640,480,15,13824175.97,15.00,-0.00,0.702,0.567,1.323
2025-10-13_00-03-55,640,480,15,13823736.24,15.00,0.00,0.722,0.577,0.922
2025-10-13_00-03-56,640,480,15,13824178.54,15.00,-0.00,0.774,0.639,1.092
2025-10-13_00-03-57,640,480,15,13823900.36,15.00,0.00,0.812,0.548,1.344
2025-10-13_00-03-58,640,480,15,13823896.46,15.00,0.00,0.834,0.675,1.061
2025-10-13_00-03-59,640,480,15,13822550.98,15.00,0.01,0.645,0.536,0.818
2025-10-13_00-04-00,640,480,15,13825436.44,15.00,-0.01,0.780,0.533,1.129
2025-10-13_00-04-01,640,480,15,13824072.98,15.00,-0.00,0.668,0.555,0.818
2025-10-13_00-04-02,640,480,15,13823900.73,15.00,0.00,0.603,0.518,0.778
2025-10-13_00-04-03,640,480,15,13824040.68,15.00,-0.00,0.810,0.576,1.434
2025-10-13_00-04-04,640,480,15,13823976.96,15.00,0.00,0.600,0.506,0.734
2025-10-13_00-04-05,640,480,15,13823886.40,15.00,0.00,0.659,0.537,0.928
2025-10-13_00-04-06,640,480,15,13823975.08,15.00,0.00,0.695,0.572,0.822
2025-10-13_00-04-07,640,480,15,13824149.22,15.00,-0.00,0.616,0.553,0.724
2025-10-13_00-04-08,640,480,15,13823822.43,15.00,0.00,0.697,0.520,0.961
2025-10-13_00-04-09,640,480,15,13823864.14,15.00,0.00,0.718,0.577,1.183
2025-10-13_00-04-10,640,480,15,13823956.79,15.00,0.00,0.674,0.554,1.153
2025-10-13_00-04-11,640,480,15,13823919.38,15.00,0.00,0.632,0.513,0.826
2025-10-13_00-04-12,640,480,15,13823965.33,15.00,0.00,0.608,0.522,0.779
