timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-13_00-13-33,2560,1440,60,663491435.17,59.99,0.01,8.136,5.149,27.101
2025-10-13_00-13-34,2560,1440,60,663572135.43,60.00,-0.00,5.829,5.138,8.681
2025-10-13_00-13-35,2560,1440,60,663485256.04,59.99,0.01,5.822,5.148,9.442
2025-10-13_00-13-36,2560,1440,60,663614056.54,60.01,-0.01,6.455,5.132,14.286
2025-10-13_00-13-37,2560,1440,60,663535927.17,60.00,0.00,5.764,5.027,10.344
2025-10-13_00-13-38,2560,1440,60,663550136.09,60.00,0.00,5.940,5.080,9.494
2025-10-13_00-13-39,2560,1440,60,663554496.96,60.00,-0.00,5.855,5.137,10.207
2025-10-13_00-13-40,2560,1440,60,663477499.44,59.99,0.01,5.527,4.792,8.985
2025-10-13_00-13-41,2560,1440,60,663634502.38,60.01,-0.01,5.811,5.144,7.793
2025-10-13_00-13-42,2560,1440,60,663546951.73,60.00,0.00,6.171,5.068,12.113
2025-10-13_00-13-43,2560,1440,60,663524396.06,60.00,0.00,5.799,5.109,6.991
2025-10-13_00-13-44,2560,1440,60,663511413.67,60.00,0.01,5.798,4.981,9.712
2025-10-13_00-13-45,2560,1440,60,663549357.75,60.00,0.00,5.874,4.977,9.499
2025-10-13_00-13-46,2560,1440,60,663588571.69,60.00,-0.01,5.849,5.064,9.829
2025-10-13_00-13-47,2560,1440,60,652449817.26,59.00,1.67,6.403,4.999,10.207
2025-10-13_00-13-48,2560,1440,60,663557605.73,60.00,-0.00,5.692,5.002,9.773
2025-10-13_00-13-49,2560,1440,60,663546316.73,60.00,0.00,5.647,5.059,8.293
2025-10-13_00-13-50,2560,1440,60,663612004.46,60.01,-0.01,6.119,5.033,10.961
2025-10-13_00-13-51,2560,1440,60,663486997.52,59.99,0.01,5.847,5.112,8.996
2025-10-13_00-13-52,2560,1440,60,663540131.26,60.00,0.00,6.532,5.160,10.352
2025-10-13_00-13-53,2560,1440,60,663544373.88,60.00,0.00,6.149,5.032,9.987
2025-10-13_00-13-54,2560,1440,60,652499415.69,59.00,1.67,5.790,5.058,8.422
2025-10-13_00-13-55,2560,1440,60,663597615.04,60.00,-0.01,6.010,5.069,9.963
2025-10-13_00-13-56,2560,1440,60,663546188.66,60.00,0.00,5.602,5.025,8.004
2025-10-13_00-13-57,2560,1440,60,663514427.83,60.00,0.01,5.767,5.062,8.078
2025-10-13_00-13-58,2560,1440,60,663605414.93,60.00,-0.01,6.393,4.932,9.740
2025-10-13_00-13-59,2560,1440,60,663559714.55,60.00,-0.00,5.785,5.032,10.492
2025-10-13_00-14-00,2560,1440,60,663541040.96,60.00,0.00,5.773,5.012,9.889
2025-10-13_00-14-01,2560,1440,60,663557312.44,60.00,-0.00,5.670,5.096,8.207
2025-10-13_00-14-02,2560,1440,60,663537854.04,60.00,0.00,5.847,5.020,9.379
2025-10-13_00-14-03,2560,1440,60,663542551.15,60.00,0.00,6.381,5.139,14.306
2025-10-13_00-14-04,2560,1440,60,663485343.61,59.99,0.01,5.614,5.004,7.048
2025-10-13_00-14-05,2560,1440,60,663570479.11,60.00,-0.00,5.824,5.092,9.467
2025-10-13_00-14-06,2560,1440,60,652560873.19,59.01,1.66,6.010,5.122,10.303
2025-10-13_00-14-07,2560,1440,60,663531721.14,60.00,0.00,5.801,5.024,10.490
2025-10-13_00-14-08,2560,1440,60,652440333.36,59.00,1.67,6.214,5.064,9.680
2025-10-13_00-14-09,2560,1440,60,663604566.11,60.00,-0.01,5.884,4.791,10.200
2025-10-13_00-14-10,2560,1440,60,663522266.24,60.00,0.00,5.980,5.052,10.599
2025-10-13_00-14-11,2560,1440,60,663521613.36,60.00,0.00,5.645,5.099,8.306
2025-10-13_00-14-12,2560,1440,60,663551691.45,60.00,0.00,5.691,5.041,10.073
2025-10-13_00-14-13,2560,1440,60,663594941.89,60.00,-0.01,5.599,5.024,7.252
