timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-13_00-29-15,2560,1440,45,497617070.73,45.00,0.01,9.461,5.756,25.454
2025-10-13_00-29-16,2560,1440,45,497669089.66,45.00,-0.00,6.549,5.593,10.044
2025-10-13_00-29-17,2560,1440,45,497659497.18,45.00,0.00,6.739,5.508,9.245
2025-10-13_00-29-18,2560,1440,45,497670085.01,45.00,-0.00,6.475,5.678,8.388
2025-10-13_00-29-19,2560,1440,45,497664451.38,45.00,-0.00,7.621,5.792,11.721
2025-10-13_00-29-20,2560,1440,45,497659045.31,45.00,0.00,6.960,5.554,10.779
2025-10-13_00-29-21,2560,1440,45,497657674.77,45.00,0.00,7.159,5.808,10.753
2025-10-13_00-29-22,2560,1440,45,497677838.93,45.00,-0.00,6.586,5.739,10.189
2025-10-13_00-29-23,2560,1440,45,497607797.69,44.99,0.01,7.290,5.808,10.517
2025-10-13_00-29-24,2560,1440,45,497671132.62,45.00,-0.00,6.762,5.725,8.999
2025-10-13_00-29-25,2560,1440,45,497692944.83,45.00,-0.01,7.683,5.781,11.509
2025-10-13_00-29-26,2560,1440,45,497667489.64,45.00,-0.00,6.765,5.528,11.110
2025-10-13_00-29-27,2560,1440,45,497673140.26,45.00,-0.00,6.369,5.426,8.255
2025-10-13_00-29-28,2560,1440,45,497664042.30,45.00,-0.00,6.782,5.689,10.204
2025-10-13_00-29-29,2560,1440,45,497609209.74,45.00,0.01,7.101,5.704,9.911
2025-10-13_00-29-30,2560,1440,45,497701139.95,45.00,-0.01,7.699,5.733,18.293
2025-10-13_00-29-31,2560,1440,45,497672199.15,45.00,-0.00,6.668,5.648,9.603
2025-10-13_00-29-32,2560,1440,45,497646106.14,45.00,0.00,7.114,5.618,9.468
2025-10-13_00-29-33,2560,1440,45,497683063.25,45.00,-0.00,6.755,5.555,9.138
2025-10-13_00-29-34,2560,1440,45,497661105.11,45.00,0.00,6.994,5.382,10.341
2025-10-13_00-29-35,2560,1440,45,497662035.23,45.00,0.00,7.273,5.655,12.884
2025-10-13_00-29-36,2560,1440,45,497663642.68,45.00,0.00,7.731,5.652,13.707
2025-10-13_00-29-37,2560,1440,45,497662090.47,45.00,0.00,6.655,5.568,9.050
2025-10-13_00-29-38,2560,1440,45,497649454.70,45.00,0.00,7.215,5.675,10.704
2025-10-13_00-29-39,2560,1440,45,497676806.72,45.00,-0.00,7.209,5.752,11.050
2025-10-13_00-29-40,2560,1440,45,497651968.27,45.00,0.00,6.572,5.558,10.585
2025-10-13_00-29-41,2560,1440,45,497664092.57,45.00,-0.00,7.459,5.707,11.590
2025-10-13_00-29-42,2560,1440,45,497683575.89,45.00,-0.00,6.780,5.546,10.289
2025-10-13_00-29-43,2560,1440,45,497637235.58,45.00,0.01,6.606,5.494,9.660
2025-10-13_00-29-44,2560,1440,45,497666655.05,45.00,-0.00,6.516,5.572,9.436
2025-10-13_00-29-45,2560,1440,45,497670787.73,45.00,-0.00,6.603,5.462,9.126
2025-10-13_00-29-46,2560,1440,45,497664091.07,45.00,-0.00,7.520,5.949,13.909
2025-10-13_00-29-47,2560,1440,45,497663587.93,45.00,0.00,6.503,5.652,8.594
2025-10-13_00-29-48,2560,1440,45,497664247.34,45.00,-0.00,6.706,5.509,8.843
2025-10-13_00-29-49,2560,1440,45,497652543.04,45.00,0.00,7.027,5.677,9.814
2025-10-13_00-29-50,2560,1440,45,497670280.10,45.00,-0.00,6.705,5.497,9.247
2025-10-13_00-29-51,2560,1440,45,497605192.52,44.99,0.01,6.728,5.621,9.119
2025-10-13_00-29-52,2560,1440,45,497669901.37,45.00,-0.00,7.690,5.827,12.209
