timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-13_00-21-57,1280,720,45,124407108.13,45.00,0.01,2.654,1.473,8.807
2025-10-13_00-21-58,1280,720,45,124406926.26,45.00,0.01,1.836,1.357,3.195
2025-10-13_00-21-59,1280,720,45,124426334.48,45.00,-0.01,1.760,1.386,2.420
2025-10-13_00-22-00,1280,720,45,124414742.04,45.00,0.00,2.224,1.598,3.874
2025-10-13_00-22-01,1280,720,45,124406852.61,45.00,0.01,1.809,1.336,2.527
2025-10-13_00-22-02,1280,720,45,124425477.99,45.00,-0.01,2.076,1.464,3.032
2025-10-13_00-22-03,1280,720,45,124401880.88,44.99,0.01,1.859,1.354,3.100
2025-10-13_00-22-04,1280,720,45,124429266.65,45.00,-0.01,1.974,1.425,2.704
2025-10-13_00-22-05,1280,720,45,124415677.64,45.00,0.00,2.774,1.947,4.992
2025-10-13_00-22-06,1280,720,45,124415742.46,45.00,0.00,1.925,1.341,2.752
2025-10-13_00-22-07,1280,720,45,124415810.02,45.00,0.00,1.803,1.298,2.608
2025-10-13_00-22-08,1280,720,45,124414383.48,45.00,0.00,1.865,1.309,2.610
2025-10-13_00-22-09,1280,720,45,124413018.19,45.00,0.00,1.954,1.299,3.125
2025-10-13_00-22-10,1280,720,45,124411584.38,45.00,0.00,2.086,1.398,9.274
2025-10-13_00-22-11,1280,720,45,124418782.50,45.00,-0.00,1.987,1.352,3.581
2025-10-13_00-22-12,1280,720,45,124420448.16,45.00,-0.00,1.769,1.366,2.713
2025-10-13_00-22-13,1280,720,45,124409767.07,45.00,0.01,1.792,1.361,3.320
2025-10-13_00-22-14,1280,720,45,124421277.33,45.00,-0.00,1.788,1.404,2.853
2025-10-13_00-22-15,1280,720,45,124415701.40,45.00,0.00,1.938,1.340,3.347
2025-10-13_00-22-16,1280,720,45,124415620.28,45.00,0.00,2.015,1.352,3.211
2025-10-13_00-22-17,1280,720,45,124415268.69,45.00,0.00,1.907,1.311,3.300
2025-10-13_00-22-18,1280,720,45,124401366.92,44.99,0.01,1.802,1.350,2.635
2025-10-13_00-22-19,1280,720,45,124430496.78,45.01,-0.01,1.875,1.382,2.731
2025-10-13_00-22-20,1280,720,45,124415487.66,45.00,0.00,1.919,1.329,3.040
2025-10-13_00-22-21,1280,720,45,124412844.39,45.00,0.00,2.064,1.378,3.616
2025-10-13_00-22-22,1280,720,45,124418071.69,45.00,-0.00,1.914,1.386,2.986
2025-10-13_00-22-23,1280,720,45,124403579.30,45.00,0.01,1.650,1.375,2.489
2025-10-13_00-22-24,1280,720,45,124428348.89,45.00,-0.01,1.750,1.439,3.124
2025-10-13_00-22-25,1280,720,45,124414988.88,45.00,0.00,1.560,1.357,2.286
2025-10-13_00-22-26,1280,720,45,124416272.35,45.00,-0.00,1.791,1.355,2.662
2025-10-13_00-22-27,1280,720,45,124415720.94,45.00,0.00,1.957,1.417,3.090
2025-10-13_00-22-28,1280,720,45,124415380.41,45.00,0.00,1.772,1.363,2.423
2025-10-13_00-22-29,1280,720,45,124415620.66,45.00,0.00,1.744,1.383,2.890
2025-10-13_00-22-30,1280,720,45,124415445.11,45.00,0.00,1.773,1.385,4.091
2025-10-13_00-22-31,1280,720,45,124416095.80,45.00,-0.00,1.961,1.308,2.747
2025-10-13_00-22-32,1280,720,45,124415455.06,45.00,0.00,2.462,1.631,4.272
2025-10-13_00-22-33,1280,720,45,124410653.70,45.00,0.00,1.774,1.356,2.485
2025-10-13_00-22-34,1280,720,45,124419921.96,45.00,-0.00,1.722,1.366,2.486
2025-10-13_00-22-35,1280,720,45,124416578.54,45.00,-0.00,1.930,1.401,2.922
2025-10-13_00-22-36,1280,720,45,124415461.53,45.00,0.00,1.869,1.314,2.709
2025-10-13_00-22-37,1280,720,45,124415227.51,45.00,0.00,2.085,1.436,5.141
2025-10-13_00-22-38,1280,720,45,124415992.54,45.00,0.00,1.836,1.359,2.689
2025-10-13_00-22-39,1280,720,45,124415999.13,45.00,0.00,1.960,1.363,3.239
2025-10-13_00-22-40,1280,720,45,124412158.15,45.00,0.00,2.081,1.410,2.889
2025-10-13_00-22-41,1280,720,45,124418702.13,45.00,-0.00,1.818,1.328,2.374
2025-10-13_00-22-42,1280,720,45,124415478.70,45.00,0.00,2.062,1.432,5.188
2025-10-13_00-22-43,1280,720,45,124400922.11,44.99,0.01,1.898,1.337,3.445
2025-10-13_00-22-44,1280,720,45,124426543.53,45.00,-0.01,1.737,1.386,2.623
2025-10-13_00-22-45,1280,720,45,124414939.49,45.00,0.00,1.915,1.392,3.186
2025-10-13_00-22-46,1280,720,45,124417390.86,45.00,-0.00,1.852,1.429,4.612
2025-10-13_00-22-47,1280,720,45,124419096.92,45.00,-0.00,1.706,1.365,2.425
2025-10-13_00-22-48,1280,720,45,124414791.43,45.00,0.00,2.183,1.360,4.004
2025-10-13_00-22-49,1280,720,45,124415935.05,45.00,0.00,1.693,1.366,2.553
2025-10-13_00-22-50,1280,720,45,124416451.51,45.00,-0.00,1.847,1.399,3.398
