rmw_type,config,resolution,fps,data_rate_mbps,avg_frame_loss_pct,max_frame_loss_pct,avg_latency_ms,max_latency_ms,avg_message_rate,test_duration_sec,timestamp
cyclonedds,640x480_30fps,640x480,30,26.3,0.00,0.17,0.610,0.999,30.00,60,2025-10-22_14-00-05
cyclonedds,low,640x480,15,13.1,0.00,0.13,0.623,1.011,15.00,60,2025-10-22_14-01-17
cyclonedds,medium,1280x720,30,79.1,0.00,3.44,1.649,3.054,30.00,60,2025-10-22_14-02-28
cyclonedds,1280x720_45fps,1280x720,45,118.6,0.00,0.17,1.635,1.299,45.00,60,2025-10-22_14-03-40
cyclonedds,1280x720_60fps,1280x720,60,158.2,0.00,0.20,1.623,1.289,60.00,60,2025-10-22_14-04-51
cyclonedds,high,1920x1080,30,177.9,0.00,0.18,5.100,6.164,30.00,60,2025-10-22_14-06-03
cyclonedds,1920x1080_45fps,1920x1080,45,266.9,0.00,0.08,5.003,2.189,45.00,60,2025-10-22_14-07-14
cyclonedds,1080p60,1920x1080,60,355.9,0.00,0.90,5.012,2.028,60.00,60,2025-10-22_14-08-26
cyclonedds,2560x1440_30fps,2560x1440,30,316.4,0.00,0.22,6.373,11.758,30.00,60,2025-10-22_14-09-37
cyclonedds,2560x1440_45fps,2560x1440,45,474.6,0.00,0.10,6.020,4.770,45.00,60,2025-10-22_14-10-49
cyclonedds,2560x1440_60fps,2560x1440,60,632.8,0.00,0.28,6.746,4.791,60.00,60,2025-10-22_14-12-00
cyclonedds,extreme,3840x2160,30,711.9,-0.00,1.56,13.180,26.133,30.00,60,2025-10-22_14-13-12
cyclonedds,3840x2160_45fps,3840x2160,45,1067.8,-0.00,1.44,15.806,24.217,45.00,60,2025-10-22_14-14-24
cyclonedds,3840x2160_60fps,3840x2160,60,1423.8,0.17,26.74,16.701,43.479,59.90,60,2025-10-22_14-15-35
zenoh,640x480_30fps,640x480,30,26.3,0.00,0.01,0.769,0.823,30.00,60,2025-10-22_14-16-50
zenoh,low,640x480,15,13.1,0.00,0.10,0.786,0.915,15.00,60,2025-10-22_14-18-01
zenoh,medium,1280x720,30,79.1,0.00,0.08,2.565,2.656,30.00,60,2025-10-22_14-19-11
zenoh,1280x720_45fps,1280x720,45,118.6,0.00,2.23,2.536,1.925,45.00,60,2025-10-22_14-20-21
zenoh,1280x720_60fps,1280x720,60,158.2,0.00,0.07,2.604,2.019,60.00,60,2025-10-22_14-21-32
zenoh,high,1920x1080,30,177.9,0.00,0.05,4.339,5.691,30.00,60,2025-10-22_14-22-42
zenoh,1920x1080_45fps,1920x1080,45,266.9,0.00,0.04,4.460,3.645,45.00,60,2025-10-22_14-23-52
zenoh,1080p60,1920x1080,60,355.9,0.00,0.04,4.435,3.525,60.00,60,2025-10-22_14-25-03
zenoh,2560x1440_30fps,2560x1440,30,316.4,0.00,0.03,8.810,11.585,30.00,60,2025-10-22_14-26-13
zenoh,2560x1440_45fps,2560x1440,45,474.6,0.04,2.23,8.954,7.457,44.98,60,2025-10-22_14-27-23
zenoh,2560x1440_60fps,2560x1440,60,632.8,0.03,1.68,8.855,7.350,59.98,60,2025-10-22_14-28-33
zenoh,extreme,3840x2160,30,711.9,0.05,3.34,28.272,30.759,29.98,60,2025-10-22_14-29-44
zenoh,3840x2160_45fps,3840x2160,45,1067.8,1.64,8.90,28.906,27.257,44.26,60,2025-10-22_14-30-54
zenoh,3840x2160_60fps,3840x2160,60,1423.8,22.62,43.33,27.348,26.197,46.43,60,2025-10-22_14-32-05
